project_id,title,description
96,MLOps Project for a Mask R-CNN on GCP using uWSGI Flask,"Business Overview
87% of Data Science Projects never make it to production - VentureBeat
Machine learning operations are widely known as MLOps include various technologies, processes, and practices that automate deployment, monitoring, and management of machine learning models in production. Many organizations are turning towards machine learning and Artificial intelligence. MLOps advocates automation and monitoring at all steps of the ML system. In this project, we aim to provide hands-on experience in MLOps by using cloud computing. Google cloud platform is used as a cloud provider. We would advise you to have a basic understanding of Image Segmentation using Mask R-CNN with Tensorflow before jumping into this project.&nbsp;
Aim
To provide an end-to-end machine learning development process to design, build and manage reproducible, testable, and evolvable machine learning models by using Google Cloud Platform(GCP)
Tech Stack
➔ Language: Python
➔ Services: GCP, uWSGI, Flask, Kubernetes, Docker&nbsp;
➔ Libraries: TensorFlow, mrcnn, matplotlib, os, flask"
97,OpenCV Project to Master Advanced Computer Vision Concepts,"Business Objective 
OpenCV (Open-Source Computer Vision Library)&nbsp;is an open-source library that includes several hundreds of computer vision algorithms. OpenCV has a modular structure, which means that the package includes several shared or static libraries.
OpenCV is a huge open-source library for computer vision, machine learning, and image processing. It can process images and videos to identify objects, faces, or even the handwriting of a human. When integrated with various libraries, such as &ldquo;NumPy,&rdquo; a highly optimized library for numerical operations, the number of weapons increases in your Arsenal, i.e., whatever operations one can do in NumPy can be combined with OpenCV.
It is advised to visit the basic OpenCV project OpenCV Project for Beginners to Learn Computer Vision Basics before starting.
&nbsp;
Data Description
In this project, we will be using sample images and videos as our input data and perform various algorithms on top of it.&nbsp;
&nbsp;
Aim
The project aims at performing some complex techniques and algorithms using the OpenCV library.
&nbsp;
Tech stack 

Language - Python
Libraries - numpy, matplotlib, cv2(OpenCV)

&nbsp;
Approach 

Importing the required libraries.
Implement Background subtraction.
Perform the Meanshift algorithm.
Perform the Camshift algorithm.
Implement the Lucas Kanade Optical Flow algorithm
Implement the Franeback Dense Flow algorithm.
Perform High Dynamic Range (HDR) imaging
Implement Epipolar Geometry using SIFT and Stereo images.
Implement Depth Map on Stereo images.
Perform Colour Quantization using Clustering.
Perform Image De-noising
"
98,Build a Scalable Event Based GCP Data Pipeline using DataFlow,"Business Overview
There is a continual need to give huge volumes of data to teams in a data-driven company. Many tools are available to assist you with your requirements and wants. Choosing the appropriate mechanism may be complicated and overwhelming at times. The key idea to remember is that there is no one-size-fits-all tool or architecture, and it all depends on your needs.
For data ingestion, many businesses are opting for Event-Driven Architecture (EDA). EDA is a software design paradigm used in application development. It enables enterprises to track and recognize significant business moments and then act on them immediately. EDA differs from a conventional request-driven system in that services must wait for a response before moving on to the next job. Many application architectures are increasingly event-driven in a modern economy fuelled by high digital transaction volume.
These pipelines can provide the agility, scalability, context, and responsiveness required for performant digital business applications. The event-driven design also needs low coupling, making it a suitable match for distributed application architectures.
There are producers and consumers in event-driven architecture. Producers unearth events and craft a message. The event is subsequently transmitted to event consumers through an event channel, where it is processed. An event processing system then performs a response to the event message, which results in creating an activity downstream.
This project will create an event-driven data pipeline using the Google Cloud Platform's serverless features. It will be based on some of the development methods that are frequently used in businesses.
&nbsp;
Dataset Description
The dataset used in this project will be a Covid-19 dataset(COVID-19 Cases.csv) from data.world, which consists of a few of the following attributes:


people_positive_cases_count


county_name


case_type


data_source


&nbsp;
Tech Stack
➔ Language: Python3.7
➔ Services: Cloud Composer, Google Cloud Storage (GCS), Pub-Sub, Cloud Functions, BigQuery, BigTable
&nbsp;
Cloud Composer
Cloud Composer is a workflow orchestration service based on Apache Airflow that is completely managed. Cloud Composer pipelines are easily constructed as directed acyclic graphs (DAGs) using Python. One-click deployment provides quick access to an extensive library of connectors and numerous graphical representations of your process in operation, making debugging a breeze. Your jobs will stay on track if your directed acyclic graphs are automatically synchronized.
&nbsp;
Google Cloud Storage
Google Cloud Storage is a web-based file storage service that allows you to store and access files on the Google Cloud Platform infrastructure. The service combines Google's cloud's speed and scalability with sophisticated security and sharing features. It provides Infrastructure as a Solution (IaaS), similar to Amazon's S3 online storage service.
&nbsp;
Pub/Sub
To ingest and disseminate data, Pub/Sub is utilized in streaming analytics and data integration pipelines. It works equally well as messaging-oriented middleware for service integration or as a queue to parallelize operations.
Pub/Sub allows you to construct event producers and consumers systems, known as publishers and subscribers. Publishers connect with subscribers asynchronously by disseminating events rather than synchronous remote procedure calls (RPCs). It is comparable to Apache Kafka.
&nbsp;
Cloud Functions
Google Cloud Functions is a serverless execution environment used to develop and connect cloud applications. Cloud Functions allows you to build simple, one-time functions related to events generated by your cloud infrastructure and services. When an event being monitored fires, your function is called. Your code runs in a completely controlled environment. There is no need to set up Infrastructure or manage servers.
&nbsp;
BigQuery
BigQuery is a fully managed corporate data warehouse that lets you collect and analyze your data with built-in capabilities such as machine learning, geographic analysis, and business analytics. BigQuery's serverless design enables you to do research using SQL queries while managing no infrastructure. The scalable, distributed analytical engine in BigQuery allows you to query terabytes in seconds and petabytes in minutes.
&nbsp;
BigTable
Cloud Bigtable is a sparsely filled table with the ability to expand to billions of rows and thousands of columns, allowing you to store terabytes or even petabytes of data. Each row has a single value that is indexed, and this value is known as the row key. Bigtable is suitable for storing massive volumes of single-keyed data with extremely low latency. It has a high read and write throughput with minimal latency, making it an excellent data source for MapReduce processes.
&nbsp;
Architecture&nbsp;
&nbsp;

&nbsp;"
99,Recommender System Machine Learning Project for Beginners-1,"Business Overview
A recommendation system is a type of algorithm designed to recommend or suggest things to the user based on many different factors. The recommendation system deals with a large amount of data and filters it out based on user&rsquo;s preferences and interests. With the rise of Youtube, Netflix, Amazon, etc., recommendation systems have taken a crucial place. Recommender systems are critical in many industries as they can help to generate a large amount of revenue. This series of projects aims to introduce recommendation systems and several algorithms used for recommendation.
This project mainly focuses on the basics of the recommendation system and a brief introduction to the different algorithms. Implementation of a Rule-based recommendation system has also been covered.&nbsp;
Aim
To understand the basics of a recommendation system and build a rule-based recommender system.
Data Description
The dataset is a transnational data set containing all the transactions occurring between 01/12/2010 and 09/12/2011 for a UK-based and registered non-store online retail. The company mainly sells unique all-occasion gifts with maximum wholesaler customers. The dataset can be found at The UCL machine learning repository. The dataset contains information about 541910 customers over eight attributes. The eight attributes are InvoiceNo, StockCode, Description, Quantity, InvoiceDate, UnitPrice, CustomerID, Country.
Tech Stack


Language: Python


Libraries:&nbsp; pandas, numpy, seaborn, matplotlib


Approach


Data Description


Exploratory Data Analysis


Data Cleaning


Rule-based Recommendation system


Popular items Globally


Popular items countriwise


Popular item monthwise


Buy again



"
100,Time Series Project to Build an Autoregressive Model in Python,"Business Objective 
A time series is simply a series of data points ordered in time. In a time-series, time is often the independent variable, and the goal is usually to make a forecast for the future.
Time series data can be helpful in for many applications in day-to-day activities like:

Tracking daily, hourly, or weekly weather data
Monitoring changes in application performance
Medical devices to visualize vitals in real-time

Autoregression (AR) modelling&nbsp;is one of the techniques used for&nbsp;time-series&nbsp;analysis. Autoregression is a time series model that uses observations from previous time steps as input to a regression equation to predict the value at the next time step.
In this project, we will build an autoregression model and also check different parameters such as presence of white noise, stationarity of the data, seasonality, etc.
(The autoregression modelling is the first time series project from the list of projects)
Data Description&nbsp;
The dataset attached in the following CSV showcases the readings of 3 sensors of a chiller. The file contains data from one chiller, and the sensors give out one value at every hour of the day.
The data has 1895 rows and 5 columns. Following are the variables:

Time: At what time the reading was taken (timestamp)
IOT_Sensor_Reading: The reading of the sensor at the above-mentioned timestamp
Error_Present: The error which may or may not be present while taking the reading
Sensor 2: The reading from the subordinate sensor
Sensor_Value: The final value to be predicted

Aim
The aim of this project is to build an auto regression model on the given dataset.
Tech stack 

Language - Python
Libraries - pandas, numpy, matplotlib, scipy.stats, pylab, statsmodels, seaborn

Approach 

Import the required libraries and read the dataset.
Perform descriptive analysis
Exploratory Data Analysis (EDA) -




Data Visualization (Q-Q plot)




Pre-processing




Convert date from string format to date format
Set time as the index column
Setting desired frequency
Handle missing data using forward filling, backward filling, and mean filling.




Check for white noise
Create a random walk model
Perform Stationarity tests




Augmented Dickey-Fuller test
KPSS test




Seasonal decomposition plot
Plot an Autocorrelation plot (ACF)
Plot a Partial Autocorrelation plot (PACF)
Perform Autoregression Modelling (ARMA)
Log Likelihood test
Calculating Rolling window
Calculating Expanding window
"
101,Build a Moving Average Time Series Forecasting Model in Python,"Business Objective 
A time series is simply a series of data points ordered in time. In a time series, time is often the independent variable, and the goal is usually to make a forecast for the future.
Time series data can be helpful for many applications in day-to-day activities like:&nbsp;

Tracking daily, hourly, or weekly weather data
Monitoring changes in application performance
Medical devices to visualize vitals in real-time

Moving averages are a simple and common type of smoothing used in time series analysis and forecasting. Calculating a moving average involves creating a new series where the values comprise the average of raw observations in the original time series.
A moving average requires that you specify a window size called the window width. This defines the number of raw observations used to calculate the moving average value. The &lsquo;moving&rsquo; part in the moving average refers to the window defined by the window width is slid along the time series to calculate the average values in the new series. Two main types of moving average are used, namely, Centred and Trailing Moving Average.
In the last part of the time series, we have covered Autoregression modelling. In this project we will explore what is Moving Average Smoothing technique.
(Moving average is the second project in our list of time series projects, you can refer to the previous project through this link :&nbsp;Time Series Project to Build an Autoregressive Model in Python)
&nbsp;
Data Description&nbsp;
The dataset attached in the following csv showcases the readings of 3 sensors of a chiller installed in North America. For data anonymity, the values have been transformed using a certain algorithm. The file contains data from one chiller which is located in Brazil and the sensors give out 1 value at every hour of the day. The raw data is at second level but as that is not actionable this data has been grouped at an hour level.
The data has 1895 rows and 5 columns. Following are the variables:

Time: At what time the reading was taken (timestamp)
IOT_Sensor_Reading: The reading of the sensor at the above-mentioned timestamp
Error_Present: The error which may or may not be present while taking the reading
Sensor 2: The reading from the subordinate sensor
Sensor_Value: The final value to be predicted

&nbsp;
Aim
This project aims to build a moving average smoothing on the given dataset.
&nbsp;
Tech stack 

Language - Python
Libraries - pandas, numpy, matplotlib, seaborn, statsmodels, sklearn

&nbsp;
Approach 

Import the required libraries and read the dataset
Perform descriptive analysis
Exploratory Data Analysis (EDA) -




Data Visualization (Q-Q plot)




Feature Engineering
Perform resampling on data




Upsampling
Downsampling




Handling the missing data (Interpolate)




Linear Interpolation
Polynomial / Spline Interpolation




Perform data transformation




Square Root Transformation
Log Transformation
Box-Cox Transformation




Rolling window Statistics
Expanding window Statistics
Moving Average Smoothing
Use the Performance Metric RMSE
"
102,Recommender System Machine Learning Project for Beginners-2,"Business Overview&nbsp;
While surfing any of the eCommerce platforms, you must have landed upon the frequently bought together section. Many of the business use this to increase the sales which eventually increases revenue. Did you ever wonder how do they do it? The technique to understand customer purchasing patterns based on the historical data is known as Market Basket Analysis, also known as Association analysis. In other words, Market Basket Analysis allows retailers to identify relationships between the items that people buy. As a part of series of Recommender system projects, this project covers a wide variety of Market basket analysis with the implementation of various rules in Python. An extensive Exploratory Data Analysis (EDA) has also been discussed.
If you haven&rsquo;t already visited, here is the first project of the series https://www.projectpro.io/project-use-case/recommendation-system-project-for-beginners
&nbsp;
Aim
To carry out Exploratory Data Analysis and implement Market Basket Analysis.

Data Description&nbsp;
The dataset is a transnational data set containing all the transactions occurring between the years 2010 to 2011 for a UK-based and registered non-store online retail. The company mainly sells unique all-occasion gifts with maximum wholesaler customers. The dataset contains information about 500K customers over eight attributes.
&nbsp;
Tech Stack


Language: Python


Libraries:&nbsp; pandas, numpy, seaborn, matplotlib, collections, mlxtend, wordcloud, networkx



Approach


Data Description


Exploratory Data Analysis


Customer insights


Date time analysis


Free items


Item level analysis


Wordcloud




Data Cleaning


Missing values detection


Outlier detection and treatment




Market Basket Analysis


Top 10 first choices


Trending items


Deals of the day




Apriori algorithm


Implementation by using mlxtend


Visualization using networkx



"
103,Text Classification with Transformers-RoBERTa and XLNet Model,"&nbsp;
Business Objective
In Part 1 of the Transformer series lectures - Multi-Class Text Classification with Deep Learning using BERT), we have done an in-depth analysis of NLP.
We started from simpler NLP models like&nbsp;Bag of Words (BOW), TF-IDF&nbsp;and moved towards word embedding models&nbsp;like Word2Vec, Glove,&nbsp;and then to&nbsp;simple/bi-directional RNNs. Finally, we came across complex&nbsp;Transformer architecture and witnessed the power of&nbsp;BERT, one of the highest performing State-of-the-Art Transformer models.&nbsp;
In Part 2 of this series, we will discuss&nbsp;two more novel architectures&nbsp;which worked on improving over BERT performances using different training &amp; optimization techniques.
These are:

RoBERTa: A Robustly Optimized BERT Pretraining Approach
XLNet: Generalized Autoregressive Pretraining for Language Understanding

We will analyse the architectures of these two models, study their training and optimization techniques and finally use them to&nbsp;classify Human Emotions&nbsp;into separate categories.
&nbsp;
Data Description&nbsp;
Emotion is a dataset of English Twitter messages with six basic emotions: anger, fear, joy, love, sadness, and surprise. This dataset is taken from the hugging face library.
The dataset comprises of three data categories,

Train - 16000 rows and 2 columns
Validation - 2000 rows and 2 columns
Test - 2000 rows and 2 columns

&nbsp;
Aim
The project aims at building two models, namely RoBERTa and XLNet to perform classification on the human emotion dataset.
&nbsp;
Tech stack 

Language - Python
Libraries - datasets, numpy, pandas, matplotlib, seaborn, ktrain, transformers, tensorflow, sklearn

&nbsp;
Environment

Jupyter Notebook
Google Colab Pro (Recommended)

&nbsp;
Approach 

Install the required libraries
Load the &lsquo;emotion&rsquo; dataset
Read the dataset across all the three categories
Convert dataset object to data-frame and create a new feature
Data Visualization




Histogram plots




RoBERTa model




Create a RoBERTa model instance.
Split the train and validation data
Perform Data Pre-processing
Compile RoBERTa in a K-train learner object
Find optimal learning rate
Fine-tune the RoBERTa model on the dataset
Check for performance metrics
Save the RoBERTa model
Use the RoBERTa model on the test data and check for the performance.




Understand the Autoregressive and Autoencoder models
XLNet model




Load the required libraries
Create an XLNet model instance
Split the train and validation data
Perform Data Pre-processing
Compile XLNet in a K-train learner object
Find optimal learning rate
Fine-tune the XLNet model on the dataset
Check for performance metrics
Save the XLNet model
Use the XLNet model on the test data and check for the performance



&nbsp;"
104,Time Series Forecasting Project-Building ARIMA Model in Python,"Business Objective 
A time series is simply a series of data points ordered in time. In a time-series, time is often the independent variable, and the goal is usually to make a forecast for the future.
Time series data can be helpful for many applications in day-to-day activities like:&nbsp;

Tracking daily, hourly, or weekly weather data
Monitoring changes in application performance
Medical devices to visualize vitals in real-time

Auto-Regressive Integrated Moving Average (ARIMA) model is one of the more popular and widely used statistical methods for time-series forecasting. ARIMA is an acronym that stands for Auto-Regressive Integrated Moving Average. It is a class of statistical algorithms that captures the standard temporal dependencies unique to time-series data.
The model is used to understand past data or predict future data in a series. It&rsquo;s used when a metric is recorded in regular intervals, from fractions of a second to daily, weekly or monthly periods.
ARIMAX (Auto-Regressive Integrated Moving Average Exogenous) is an extension of the ARIMA model, and similarly, SARIMAX (Seasonal Auto-Regressive Integrated Moving Average with Exogenous factors) is also an updated version of the ARIMA model. We will see how to implement these two models as well.
We have already covered the concepts of Time Series Project to Build an Autoregressive Model in Python and Build a Moving Average Time Series Forecasting Model in Python
In this project, we will be implementing the ARIMA model on the given dataset.
(ARIMA modelling is the third project in our list of time series projects, you can refer to the previous project through this link : Build a Moving Average Time Series Forecasting Model in Python)
Data Description&nbsp;
The dataset is &ldquo;Call centers&rdquo; data. This data is at month level wherein the calls are segregated at domain level as the call centre operates for various domains. There are also external regressors like no of channels and no of phone lines which essentially indicate the traffic prediction of the inhouse analyst and the resources available.
The total number of rows are 132 and number of columns are 8:

Month, healthcare, telecom, banking, technology, insurance, no of phonelines and no of channels.

Aim
This project aims to build an ARIMA model on the given dataset.
Tech stack 

Language - Python
Libraries - pandas, numpy, matplotlib, seaborn, statsmodels, scipy

Approach 

Import the required libraries and read the dataset
Perform descriptive analysis
Exploratory Data Analysis (EDA) -




Data Visualization




Check for white noise
Check for Random Walk
Perform Stationarity tests




Augmented Dickey-Fuller test
KPSS test




Seasonal decomposition plot
Holt Winter Exponential Smoothing




Create and fit the model
Make predictions on the model
Plot the results




ARIMA model




Create models with varying lag values
Compare these models using log-likelihood and AIC values
Check with the LLR test
ACF Plots of residuals




ARIMAX model




Create a model
ACF plots of residuals




SARIMAX model




Create a model
ACF plots of residuals


"
105,Build a Multi Class Image Classification Model Python using CNN,"Business Objective 
Image classification helps to classify a given set of images as their respective category classes. There are many applications of image classification today, one of them being self-driving cars. An image classification model can be built that recognizes various objects, such as vehicles, people, moving objects, etc., on the road to enable autonomous driving.
There are three main classes of input images in this project, and we need to build a model that can correctly identify a given image. To achieve this, we will be using one of the famous machine learning algorithms used for image classification, i.e., Convolutional Neural Network (or CNN).
Data Description
We will be using a dataset of images categorized into three types, namely the driving license, social security, and others.
The training and testing data each contains these three subfolders. There are around 50 images in each subfolder of testing data, while approximately 200 images in each subfolder of training data.
Aim
To build a sequential model that can perform multiclass classification on a given set of data images.
Tech stack 

Language - Python
Libraries - numpy, matplotlib, tensorflow, cv2

Approach 

Importing the required libraries.
Load and read the data images
Data Visualization




Count plot




Data pre-processing




Create train and validation data
Normalize the data
Reshape the data images




Data augmentation




Using ImageDataGenerator




Model Training




Create a sequential model
Add convolution, maxpool,dropout layers
Add the softmax activation function (As this is a multiclass classification problem)
Pass the optimizer parameter
Compile the model
Fit and train the model
Check for the predictions
Save the model in h5 format.




Inferencing the model




Prediction on the test data


"
106,NLP Project for Beginners on Text Processing and Classification,"Business Overview&nbsp;
Have you ever wondered how the machine deals with the text we write, the sentence we speak? How the machine takes essential decisions based on just the text? Natural Language Processing, often abbreviated as NLP, gives the ability to machines to understand, read, and get meaningful insights from human language. Basically, NLP is the automatic handling of human languages.&nbsp; Nowadays, NLP is prospering due to the large availability of data and computational power. NLP has dug down its routes from healthcare, media, finance to human resources. It is growing with each coming day.&nbsp;
In this series of projects, we will introduce NLP and associated techniques in a very lucid manner. This project aims to give you a brief overview of text preprocessing and building a binary classification model on processed data.&nbsp;

Aim
To understand the basic text preprocessing and build a classification model.

Data Description&nbsp;
The dataset contains more than a thousand reviews about an application openly available to the public. The data includes reviews and sentiment, i.e., is the review positive or negative with various other variables.&nbsp;&nbsp;

Tech Stack


Language: Python


Libraries:&nbsp; pandas, seaborn, matplotlib, sklearn, nltk



Approach


Data Description and visualization


Introduction to NLTK library


Data Preprocessing


Conversion to lower case


Tokenization


Stopwords removal


Punctuation removal


Stemming




Bag of Words


Binary


Non-binary


N-grams




TF-IDF


Model Building and Accuracy&nbsp;


Predictions on new reviews

"
107,"Retail Analytics Project Example using Sqoop, HDFS, and Hive","Business Overview
Retail analytics is the process of delivering analytical data on inventory levels, supply chain movement, customer demand, sales, and other important factors for marketing and procurement choices. Demand and supply data analytics may be utilized to manage procurement levels as well as make marketing decisions. Retail analytics provides us with precise consumer insights and insights into the organization's business and procedures, as well as the scope and need for development.
Aside from inventory management, many retailers employ analytics to determine customer patterns and shifting preferences by merging various sources. Businesses may discover developing trends, and better predict them by combining sales data with a range of criteria. This is strongly related to marketing functions, which also benefit from analytics.
Companies may use retail analytics to strengthen their marketing strategies by better grasping individual preferences and gaining more detailed data. They may design strategies that focus on people and have a greater success rate by combining demographic data with information such as purchasing patterns, preferences, and purchase history.
In this, we will be utilizing Walmart store sales data to perform analysis and answer the following questions:
&nbsp;


Which store has a minimum and maximum sales?


Which store has a maximum standard deviation?


Which store/s has an excellent quarterly growth rate in Q3'2012?


Find out holidays which have higher sales than the mean sales in non-holiday season for all stores together.


&nbsp;
Data Pipeline
A data pipeline is a technique for transferring data from one system to another. The data may or may not be updated, and it may be handled in real-time (or streaming) rather than in batches. The data pipeline encompasses everything from harvesting or acquiring data using various methods to storing raw data, cleaning, validating, and transforming data into a query-worthy format, displaying KPIs, and managing the above process.
&nbsp;
Dataset Description
The Walmart Store sales dataset consists of 6436 data points, including the following parameters:


Store&nbsp;&nbsp;


Date


Weekly_Sales&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;


Holiday_Flag&nbsp;


Temperature&nbsp;


Fuel_Price&nbsp; &nbsp;


CPI&nbsp; &nbsp;&nbsp;


Unemployment


&nbsp;
Tech Stack
➔ Language: SQL, Bash
➔ Services: AWS EC2, Docker, MySQL, Sqoop, Hive, HDFS
&nbsp;
AWS EC2
A virtual server on Amazon's Elastic Compute Cloud (EC2) for executing applications on the Amazon Web Services (AWS) architecture is known as an Amazon EC2 instance. The Amazon Elastic Compute Cloud (EC2) service allows corporate customers to run application applications in a computer environment. Using Amazon EC2 eliminates the need to invest in hardware up front, allowing users to create and deploy apps quickly. Amazon EC2 allows users to launch as many or as few virtual servers as they want, set security and networking, and manage storage.
&nbsp;
Docker
Docker is a containerization platform that is a free source. It allows developers to bundle programs into containers. These standardized executable components combine application source code with the operating system (OS) libraries and dependencies necessary to run that code in any environment.
&nbsp;
MySQL
MySQL is a SQL (Structured Query Language) based relational database management system. Data warehousing, e-commerce, and logging applications are just a few of the uses of the platform.
&nbsp;
Sqoop&nbsp; &nbsp;
Sqoop is a tool for transferring data between Hadoop and relational database servers. It is used to import data from relational databases such as MySQL and Oracle into Hadoop HDFS, Hive, and export data from the Hadoop file system to relational databases.
&nbsp;
Hive
Apache Hive is a fault-tolerant distributed data warehousing solution that enables massive-scale analytics. Using SQL, Hive allows users to read, write, and manage petabytes of data.
Hive is based on Apache Hadoop, an open-source system for storing and processing massive information. As a result, Hive is tightly linked with Hadoop and is built to handle petabytes of data fast. The ability to query massive datasets with a SQL-like interface, using Apache Tez or MapReduce, distinguishes Hive.
&nbsp;
Approach


Containers for all the services are spun up using Docker.


Setup for MySQL is performed for Table creation using the dataset.


Data is imported using Sqoop into Hive.


Data transformation is performed for analysis and reporting.


&nbsp;
Architecture&nbsp;
"
108,MLOps on GCP Project for Autoregression using uWSGI Flask,"Business Objective
&nbsp;
Today, many organizations are turning towards machine learning and Artificial intelligence. AI-based applications promise to deliver new levels of competitiveness, intelligence, and automation for businesses. MLOps is a means of continuous delivery and deployment of these machine learning models. &nbsp;Practicing MLOps means that you advocate for automation and monitoring at all steps of ML system construction, including integration, testing, releasing, deployment, and infrastructure management. &nbsp;
We aim to create the MLOps project by using the google cloud platform (GCP). Here, GCP is used as a cloud provider. But first, we would suggest you go through the former project&nbsp;Time Series Project to Build an Autoregressive Model in Python&nbsp;before starting with this project.
&nbsp;
Aim
&nbsp;
To create an end-to-end machine learning development process to design, build and manage reproducible, testable, and evolvable machine learning models using Google Cloud Platform (GCP) for the Time Series AutoRegressor Project.
&nbsp;
&nbsp;
Tech stack 

Language - Python
Services - GCP, uWSGI, Flask, Kubernetes, Docker&nbsp;

&nbsp;
Approach 
This repository contains the code files involved in creating an automated MLOps Pipeline on GCP (Google Cloud Platform)
&nbsp;
Steps:


Clone the repository


Place your model (pickle file) inside the output folder


Once you made the changes, create a new repository and commit the changes. From here on, this will be your source repository. Proceed with the below steps
&nbsp;
CLOUD BUILD TRIGGER


In your GCP console, create a new cloud build trigger.


Point the trigger to your source repository


GOOGLE KUBERNETES ENGINE (GKE)


From the console launch a Kubernetes cluster


Connect to the cluster and create the following two files


deployment.yaml


service.yaml


Copy the code for both files from ""Kubernetes Files"" folder in the cloned repository


Execute the following commands


kubectl apply -f deployment.yaml


kubectl apply -f service.yaml




Get the name of the deployment with the following command


kubectl get deployments




CLOUD PUB/SUB


Create a Pub/Sub topic with the name&nbsp;cloud-build


Provide a subscription for the topic, which is to trigger a cloud function


CLOUD FUNCTIONS


From Pub/Sub console launch the cloud function window


Provide the following Environment variables through the GUI console


PROJECT&nbsp;(project name)


ZONE&nbsp;(Region in which the project is deployed ex.uscentral-1)


CLUSTER&nbsp;(Name of the Kubernetes cluster created earlier)


DEPLOYMENT&nbsp;(Name of the deployment inside the Kubernetes cluster)




Copy the program code and requirements.txt files for the cloud function from&nbsp;cloud-function-trigger&nbsp;folder


Configure the Entrypoint for the cloud function as&nbsp;onNewImage


Deploy the function


After successful deployment, make a commit to the source repository and the following will happen in sequence
&nbsp; &nbsp;Cloud Build will push message to Pub/Sub upon successful build&nbsp;
&nbsp; &nbsp;Pub/Sub will trigger the cloud function&nbsp;
Cloud function will deploy the new image on Kubernetes&nbsp;
To test the deployment, check the logs on Kubernetes cluster using the following command&nbsp;


kubectl get pods&nbsp;


kubectl logs&nbsp;&nbsp;


The deployment will reflect in the logs as well as in the endpoints"
109,GCP Project to Explore Cloud Functions using Python Part 1,"Business Overview
Google Cloud is a collection of physical assets, such as computers and hard disk drives, and virtual resources, such as virtual machines (VMs), housed in Google data centers worldwide. This resource distribution has various advantages, including redundancy in a failure and decreased latency by putting resources closer to customers. This release also presents some guidelines for combining resources.
GCP offers a web-based graphical user interface for managing Google Cloud projects and resources. If a user prefers to work at the command line, the gcloud command-line tool can handle most Google Cloud activities.
In this project, we will explore the following services of GCP:


Cloud Storage


Compute Engine


PubSub&nbsp;


&nbsp;
Tech Stack
➔ Language: Python3
➔ Services: Cloud Storage, Compute Engine, Pub/Sub
&nbsp;
Cloud Storage
Cloud Storage is a service that allows users to store their data on the Google Cloud. An object is an immutable piece of data that consists of a file in any format. Objects can be stored in containers known as buckets. All buckets are related to a project, and the user may organize their projects into organizations. After starting a project, users may create Cloud Storage buckets, upload things to the buckets, and get objects. Users can also give rights to make data accessible to certain domains or for specific use cases such as establishing a website.
&nbsp;
Compute Engine
Compute Engine provides size, performance, and value, allowing users to deploy huge compute clusters on Google's infrastructure effortlessly. There are no initial costs, and hundreds of virtual CPUs may be run on a system that provides speedy consistent performance.
&nbsp;
Pub/Sub
Pub/Sub allows services to interact asynchronously and is used in streaming analytics and data integration pipelines to ingest and disseminate data. It, like Kafka, allows users to design systems of event producers and consumers, known as publishers and subscribers. Publishers connect with subscribers asynchronously by disseminating events rather than synchronous remote procedure calls (RPCs). Publishers transmit events to the Pub/Sub service without considering how or when these events will be handled. Pub/Sub then sends events to any services that need to respond to them. This type of asynchronous integration improves the overall flexibility and robustness of the system.
"
110,MLOps AWS Project on Topic Modeling using Gunicorn Flask,"Business Overview
Machine learning operations are widely known as MLOps include various technologies, processes, and practices that automate deployment, monitoring, and management of machine learning models in production. Many organizations are turning towards machine learning and Artificial intelligence. MLOps advocates automation and monitoring at all steps of the ML system. In this project, we aim to provide hands-on experience in MLOps by using cloud computing. Amazon Web Services(AWS) is used as a cloud provider. We would advise you to have a basic understanding of NLP Project on LDA Topic Modelling Python using RACE Dataset before jumping into this project.&nbsp;
&nbsp;
&nbsp;
Aim
To provide an end-to-end machine learning development process to design, build and manage reproducible, testable, and evolvable machine learning models by using Amazon Web Services(AWS)
&nbsp;
&nbsp;
Tech Stack
➔ Language: Python
➔ Libraries: Flask, gunicorn, scipy, nltk, tqdm, numpy, joblib, pandas, scikit_learn, boto3
➔ Services: Flask, Docker, AWS, Gunicorn&nbsp;
&nbsp;
&nbsp;
Prerequisites
It is advisable to have a basic knowledge of the following services to get an understanding of the project.


Flask


AWS s3


Aws ECR


AWS ECS


AWS EC2 Load balancer


AWS Code commit


AWS Code Build


AWS Code Deploy


AWS Code Pipeline

"
